Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking,Odds,avg_rank_last_x_years
2021,CHO,Charlotte Hornets,EAST,24.23529411764705,2.588235294117647,215.8823529411765,78.05882352941177,28500000,2875000.0,107134070,1,17,0,0,8,0,10.0,25000,9.333333333333334
2020,CHO,Charlotte Hornets,EAST,24.875,3.75,219.375,78.1875,25565217,2716067.5,122575891,1,17,0,0,8,0,9.0,200000,9.4
2019,CHO,Charlotte Hornets,EAST,25.764705882352946,5.0,215.8823529411765,77.82352941176471,24000000,3627842.0,122327044,0,17,0,0,8,0,9.0,50000,9.5
2018,CHO,Charlotte Hornets,EAST,25.47058823529412,4.0,220.58823529411765,78.82352941176471,23500000,2876040.0,117228164,1,15,0,0,8,0,10.0,50000,9.333333333333334
2017,CHO,Charlotte Hornets,EAST,25.789473684210527,4.421052631578948,221.8421052631579,79.3157894736842,20869566,2140829.5,90175926,1,17,0,0,8,0,11.0,55000,8.5
2016,CHO,Charlotte Hornets,EAST,25.88235294117647,4.352941176470588,220.35294117647047,78.47058823529412,13833333,3619278.0,77609865,0,16,0,0,8,0,6.0,35000,11.0
2015,CHO,Charlotte Hornets,EAST,26.058823529411764,4.470588235294118,224.1176470588236,77.58823529411765,13666667,3511045.5,75954458,0,18,0,0,36,0,11.0,8500,11.0
2025,CHI,Chicago Bulls,EAST,24.95238095238096,3.619047619047619,213.5,78.47619047619048,43031940,7000000.0,166079908,1,14,6,0,36,0,,50000,7.333333333333333
2024,CHI,Chicago Bulls,EAST,26.11111111111111,4.388888888888889,213.94444444444449,78.38888888888889,40064220,3350760.0,167689263,1,22,6,0,36,0,9.0,12500,7.235294117647059
2023,CHI,Chicago Bulls,EAST,26.666666666666668,5.277777777777778,213.0,78.05555555555556,37096500,1836090.0,149421485,1,22,6,0,36,0,10.0,4000,7.0625
2022,CHI,Chicago Bulls,EAST,25.09090909090909,3.636363636363636,213.27272727272728,78.27272727272727,26000000,1481552.0,135372441,0,24,6,0,36,0,6.0,6600,7.133333333333334
2021,CHI,Chicago Bulls,EAST,25.5,4.045454545454546,220.77272727272728,79.13636363636364,26000000,5572680.0,127968089,1,16,6,0,35,0,11.0,25000,6.857142857142857
2020,CHI,Chicago Bulls,EAST,24.176470588235293,2.647058823529412,219.23529411764707,79.0,27250576,3377569.0,115583743,1,18,6,0,35,0,11.0,42500,6.538461538461538
2019,CHI,Chicago Bulls,EAST,23.727272727272727,2.409090909090909,214.63636363636363,78.18181818181819,26011913,1991520.0,112898444,1,22,6,0,35,0,13.0,50000,6.0
2018,CHI,Chicago Bulls,EAST,24.52380952380953,2.4761904761904763,221.47619047619048,78.57142857142857,15550000,2186400.0,90133960,0,25,6,0,35,0,13.0,250000,5.363636363636363
2017,CHI,Chicago Bulls,EAST,25.77777777777778,3.7777777777777777,220.38888888888889,78.44444444444444,23200000,2092200.0,92571387,1,16,6,0,35,0,8.0,9000,5.1
2016,CHI,Chicago Bulls,EAST,27.375,5.0625,222.0,79.25,20093063,2380440.0,85385898,1,14,6,0,34,0,9.0,1600,4.666666666666667
2015,CHI,Chicago Bulls,EAST,28.071428571428573,5.857142857142857,219.5,79.07142857142857,18862875,2277960.0,81244225,1,16,6,0,34,0,3.0,700,4.875
2014,CHI,Chicago Bulls,EAST,27.7,5.6,216.65,78.65,17632688,4059000.0,85095835,1,12,6,0,33,0,3.0,1000,5.142857142857143
2013,CHI,Chicago Bulls,EAST,27.933333333333334,6.533333333333333,216.6,78.8,16402500,2056405.5,75627699,1,13,6,0,32,0,5.0,1200,5.166666666666667
2012,CHI,Chicago Bulls,EAST,28.0,5.5,216.3571428571429,78.57142857142857,13500000,4055000.0,69548447,0,14,6,0,31,0,1.0,550,6.0
2011,CHI,Chicago Bulls,EAST,27.466666666666665,5.066666666666666,221.7333333333333,79.0,14400000,3100000.0,54538076,2,11,6,0,30,0,1.0,1400,7.25
2010,CHI,Chicago Bulls,EAST,26.83333333333333,4.5,218.72222222222223,78.83333333333333,12250000,2455680.0,69700359,0,17,6,0,29,0,8.0,5000,7.0
2009,CHI,Chicago Bulls,EAST,26.42105263157895,4.789473684210527,216.1052631578948,79.15789473684211,11375000,4963400.0,68126774,0,14,6,0,28,0,7.0,3000,7.0
2008,CHI,Chicago Bulls,EAST,25.21052631578948,3.5789473684210527,219.68421052631567,79.15789473684211,12000084,2135400.0,63084166,0,17,6,0,24,0,11.0,1000,3.0
2025,CLE,Cleveland Cavaliers,EAST,25.75,4.2,208.26315789473685,77.95,36725670,8500000.0,161102772,2,11,1,0,24,0,,5000,7.0
2024,CLE,Cleveland Cavaliers,EAST,26.0,4.555555555555555,217.27777777777777,79.0,34005250,2229365.5,164211423,2,22,1,0,24,0,4.0,2500,7.176470588235294
2023,CLE,Cleveland Cavaliers,EAST,26.944444444444443,5.388888888888889,220.5,78.44444444444444,30913750,2000000.0,149251300,1,20,1,0,23,0,4.0,3000,7.375
2022,CLE,Cleveland Cavaliers,EAST,25.923076923076923,4.0,216.65384615384616,78.57692307692308,31258256,1782621.0,135568628,1,24,1,0,22,0,8.0,50000,7.333333333333333
2021,CLE,Cleveland Cavaliers,EAST,25.28,3.84,223.68,78.76,31258256,1620564.0,126527288,2,23,1,0,22,0,13.0,50000,6.928571428571429
2020,CLE,Cleveland Cavaliers,EAST,24.476190476190474,3.1904761904761907,221.8095238095238,78.0952380952381,28942830,2035800.0,131181714,2,21,1,0,22,0,15.0,150000,6.3076923076923075
2019,CLE,Cleveland Cavaliers,EAST,26.07407407407408,4.481481481481482,214.66666666666663,78.4074074074074,24119025,2393887.0,124623504,0,21,1,1,22,0,14.0,50000,5.666666666666667
2018,CLE,Cleveland Cavaliers,EAST,28.863636363636363,7.181818181818182,224.6818181818182,78.0909090909091,33285709,2116955.0,137912382,1,18,1,1,22,0,4.0,515,5.818181818181818
2017,CLE,Cleveland Cavaliers,EAST,30.047619047619047,8.380952380952381,227.0,79.38095238095238,30963450,2025829.5,127254579,1,17,1,1,21,0,2.0,385,6.2
2016,CLE,Cleveland Cavaliers,EAST,28.83333333333333,6.777777777777778,228.94444444444449,79.0,22971000,4950000.0,105962520,1,14,1,1,20,1,1.0,280,6.777777777777778
2015,CLE,Cleveland Cavaliers,EAST,27.95,6.45,229.9,79.15,20644400,2732000.0,82038768,1,14,0,0,19,0,2.0,275,7.375
2014,CLE,Cleveland Cavaliers,EAST,24.428571428571427,2.952380952380953,228.23809523809524,79.33333333333333,9036364,3978120.0,47560404,0,12,0,0,18,0,10.0,6600,7.0
