,Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking
602,2011,ORL,Orlando Magic,EAST,28.176470588235293,7.176470588235294,220.23529411764707,78.52941176470588,1000,17730694,3750000.0,90770804,0,14,0,0,13,0,4
603,2011,ORL,Orlando Magic,EAST,28.176470588235293,7.176470588235294,220.23529411764707,78.52941176470588,2500,17730694,3750000.0,90770804,0,14,0,0,13,0,4
604,2010,ORL,Orlando Magic,EAST,27.75,6.333333333333333,220.0833333333333,78.16666666666667,1000,18876000,4000000.0,82200916,1,12,0,0,12,0,2
605,2010,ORL,Orlando Magic,EAST,27.75,6.333333333333333,220.0833333333333,78.16666666666667,1000,18876000,4000000.0,82200916,1,12,0,0,12,0,2
606,2010,ORL,Orlando Magic,EAST,27.75,6.333333333333333,220.0833333333333,78.16666666666667,2500,18876000,4000000.0,82200916,1,12,0,0,12,0,2
607,2009,ORL,Orlando Magic,EAST,27.875,6.0625,213.125,78.3125,4000,16447871,4900000.0,69672979,1,12,0,0,11,0,3
608,2009,ORL,Orlando Magic,EAST,27.875,6.0625,213.125,78.3125,2000,16447871,4900000.0,69672979,1,12,0,0,11,0,3
609,2008,ORL,Orlando Magic,EAST,26.9375,5.3125,221.5625,79.0625,4000,14880000,2970000.0,58165973,1,15,0,0,10,0,3
610,2008,ORL,Orlando Magic,EAST,26.9375,5.3125,221.5625,79.0625,2000,14880000,2970000.0,58165973,1,15,0,0,10,0,3
611,2025,PHI,Philadelphia 76ers,EAST,27.21052631578948,5.842105263157895,219.92857142857144,77.6842105263158,1400,51415938,7975000.0,176179246,2,9,2,0,40,0,
612,2024,PHI,Philadelphia 76ers,EAST,27.821428571428573,6.428571428571429,214.1071428571429,78.10714285714286,1400,47607350,2019706.0,166735219,2,23,2,0,40,0,7
613,2023,PHI,Philadelphia 76ers,EAST,25.95238095238096,4.714285714285714,217.9047619047619,78.28571428571429,1400,37633050,2125200.0,149571525,3,18,2,0,39,0,3
614,2022,PHI,Philadelphia 76ers,EAST,26.39130434782609,5.0,219.08695652173915,78.56521739130434,1400,44310840,1517981.0,147997711,3,21,2,0,38,0,4
615,2021,PHI,Philadelphia 76ers,EAST,25.95652173913044,4.260869565217392,216.8260869565217,78.47826086956522,1400,34358850,1732194.5,146167304,3,17,2,0,37,0,1
616,2020,PHI,Philadelphia 76ers,EAST,25.789473684210527,4.0,218.4736842105264,78.42105263157895,1400,32742000,2028594.0,131997240,3,16,2,0,36,0,6
617,2019,PHI,Philadelphia 76ers,EAST,25.807692307692307,4.115384615384615,222.92307692307693,79.3076923076923,1400,25467250,2502843.5,112942947,1,19,2,0,35,0,3
618,2018,PHI,Philadelphia 76ers,EAST,25.26086956521739,3.652173913043478,220.17391304347825,78.34782608695652,1400,23000000,1471382.0,100223563,1,22,2,0,34,0,3
619,2017,PHI,Philadelphia 76ers,EAST,24.61904761904762,2.4285714285714284,222.42857142857144,79.38095238095238,1400,11027027,1514160.0,85535372,0,25,2,0,33,0,14
620,2016,PHI,Philadelphia 76ers,EAST,24.33333333333333,2.7777777777777777,214.27777777777777,77.94444444444444,1400,12000000,1100602.0,63646397,0,23,2,0,33,0,15
621,2015,PHI,Philadelphia 76ers,EAST,23.76,1.92,214.32,78.6,1400,11250000,1120920.0,56356304,0,25,2,0,33,0,14
622,2014,PHI,Philadelphia 76ers,EAST,23.30434782608696,1.6521739130434785,219.91304347826087,79.21739130434783,5000,14021788,3002950.5,58945006,1,13,2,0,33,0,14
623,2014,PHI,Philadelphia 76ers,EAST,23.30434782608696,1.6521739130434785,219.91304347826087,79.21739130434783,10000,14021788,3002950.5,58945006,1,13,2,0,33,0,14
624,2013,PHI,Philadelphia 76ers,EAST,25.41176470588235,4.117647058823529,221.52941176470588,78.41176470588235,5000,16889000,2909522.0,84032270,1,17,2,0,33,0,10
625,2013,PHI,Philadelphia 76ers,EAST,25.41176470588235,4.117647058823529,221.52941176470588,78.41176470588235,10000,16889000,2909522.0,84032270,1,17,2,0,33,0,10
