,totals_rank,totals_team,totals_games,totals_minutes_played,totals_field_goals,totals_field_goals_attempted,totals_field_goal_pct,totals_three_point_field_goals,totals_three_point_attempts,totals_three_point_pct,totals_two_point_field_goals,totals_two_point_attempts,totals_two_point_pct,totals_free_throws,totals_free_throw_attempts,totals_free_throw_pct,totals_offensive_rebounds,totals_defensive_rebounds,totals_total_rebounds,totals_assists,totals_steals,totals_blocks,totals_turnovers,totals_personal_fouls,totals_points
320,11,New York Knicks*,82,19955,3444,7328,.470,1037,2930,.354,2407,4398,.547,1589,2087,.761,1031,2790,3821,1880,527,340,1065,1666,9514
321,12,Denver Nuggets*,82,19755,3574,7088,.504,969,2559,.379,2605,4529,.575,1378,1834,.751,828,2699,3527,2368,618,368,1192,1525,9495
322,13,Minnesota Timberwolves*,82,19830,3515,7167,.490,997,2731,.365,2518,4436,.568,1467,1942,.755,749,2686,3435,2145,657,444,1258,1768,9494
323,14,Philadelphia 76ers*,82,19880,3347,6870,.487,1035,2675,.387,2312,4195,.551,1719,2058,.835,715,2641,3356,2063,635,389,1121,1675,9448
324,15,New Orleans Pelicans,82,19855,3447,7180,.480,899,2468,.364,2548,4712,.541,1585,2000,.793,866,2717,3583,2122,681,337,1196,1678,9378
325,16,Dallas Mavericks,82,19930,3283,6909,.475,1246,3362,.371,2037,3547,.574,1554,2057,.755,625,2556,3181,1880,514,304,1002,1697,9366
326,17,Phoenix Suns*,82,19780,3453,7388,.467,1001,2674,.374,2452,4714,.520,1412,1781,.793,971,2657,3628,2235,585,432,1110,1739,9319
327,18,Los Angeles Clippers*,82,19830,3370,7059,.477,1041,2735,.381,2329,4324,.539,1533,1962,.781,803,2742,3545,1959,580,364,1167,1598,9314
328,19,Portland Trail Blazers,82,19730,3317,7001,.474,1056,2893,.365,2261,4108,.550,1609,2021,.796,774,2551,3325,1981,553,376,1185,1643,9299
329,20,Brooklyn Nets*,82,19730,3399,6978,.487,1048,2771,.378,2351,4207,.559,1449,1811,.800,674,2648,3322,2093,585,506,1127,1730,9295
330,21,Washington Wizards,82,19755,3456,7127,.485,925,2601,.356,2531,4526,.559,1442,1838,.785,774,2804,3578,2083,561,424,1158,1539,9279
331,22,Chicago Bulls,82,19905,3488,7116,.490,854,2367,.361,2634,4749,.555,1446,1788,.809,694,2779,3473,2006,644,371,1097,1551,9276
332,23,San Antonio Spurs,82,19855,3533,7593,.465,911,2640,.345,2622,4953,.529,1292,1739,.743,965,2619,3584,2232,572,322,1253,1630,9269
333,24,Toronto Raptors,82,19805,3434,7489,.459,880,2626,.335,2554,4863,.525,1506,1922,.784,1043,2485,3528,1961,772,424,956,1641,9254
334,25,Cleveland Cavaliers*,82,19880,3408,6984,.488,950,2589,.367,2458,4395,.559,1439,1844,.780,795,2574,3369,2045,586,384,1094,1560,9205
335,26,Orlando Magic,82,19780,3323,7074,.470,883,2551,.346,2440,4523,.539,1607,2050,.784,833,2713,3546,1906,603,382,1236,1652,9136
